0.11D+08                                              +-  H  He C  O  S  G    
 JSPACE =            1
 147 C6N         0  0  0  6  1  0  0  0  0  0  0  0  0  0  0.49939295D-17
 148 C8          0  0  0  8  0  0  0  0  0  0  0  0  0  0  0.65249265D-19
 149 HC6N        0  1  0  6  1  0  0  0  0  0  0  0  0  0  0.42217918D-17
 150 NC6N        0  0  0  6  2  0  0  0  0  0  0  0  0  0  0.34371018D-13
 151 SiC6H       0  1  0  6  0  0  1  0  0  0  0  0  0  0  0.29931786D-14
 152 CH2CHC2H    0  4  0  4  0  0  0  0  0  0  0  0  0  0  0.35003606D-14
 153 C6H2        0  2  0  6  0  0  0  0  0  0  0  0  0  0  0.20696981D-15
 154 C7H         0  1  0  7  0  0  0  0  0  0  0  0  0  0  0.15005165D-17
 155 C7N         0  0  0  7  1  0  0  0  0  0  0  0  0  0  0.50474016D-18
 156 CH3C3N      0  3  0  4  1  0  0  0  0  0  0  0  0  0  0.10036328D-14
 157 HCOOCH3     0  4  0  2  0  2  0  0  0  0  0  0  0  0  0.13008237D-17
 158 C2H6        0  6  0  2  0  0  0  0  0  0  0  0  0  0  0.00000000D+00
 159 C7O         0  0  0  7  0  1  0  0  0  0  0  0  0  0  0.99664500D-17
 160 C9          0  0  0  9  0  0  0  0  0  0  0  0  0  0  0.40544255D-21
 161 HC7N        0  1  0  7  1  0  0  0  0  0  0  0  0  0  0.16930692D-17
 162 SiC3H5      0  5  0  3  0  0  1  0  0  0  0  0  0  0  0.00000000D+00
 163 CH3CH2OH    0  6  0  2  0  1  0  0  0  0  0  0  0  0  0.10195000D-12
 164 C7H2        0  2  0  7  0  0  0  0  0  0  0  0  0  0  0.73365274D-17
 165 C8H         0  1  0  8  0  0  0  0  0  0  0  0  0  0  0.25909339D-18
 166 CH3C4H      0  4  0  5  0  0  0  0  0  0  0  0  0  0  0.22285527D-13
 167 CH3OCH3     0  6  0  2  0  1  0  0  0  0  0  0  0  0  0.25823252D-20
 168 CH3CHCH2    0  6  0  3  0  0  0  0  0  0  0  0  0  0  0.00000000D+00
 169 C8N         0  0  0  8  1  0  0  0  0  0  0  0  0  0  0.13032549D-19
 170 C10         0  0  0 10  0  0  0  0  0  0  0  0  0  0  0.92648902D-23
 171 CH3COCH3    0  6  0  3  0  1  0  0  0  0  0  0  0  0  0.42964686D-17
 172 C8H2        0  2  0  8  0  0  0  0  0  0  0  0  0  0  0.25934328D-18
 173 C9H         0  1  0  9  0  0  0  0  0  0  0  0  0  0  0.86193920D-21
 174 C9N         0  0  0  9  1  0  0  0  0  0  0  0  0  0  0.52996243D-21
 175 CH3C5N      0  3  0  6  1  0  0  0  0  0  0  0  0  0  0.60150265D-18
 176 HC8N        0  1  0  8  1  0  0  0  0  0  0  0  0  0  0.38505583D-20
 177 NC8N        0  0  0  8  2  0  0  0  0  0  0  0  0  0  0.61536863D-14
 178 SiC8H       0  1  0  8  0  0  1  0  0  0  0  0  0  0  0.59896464D-15
 179 CH2CHCHCH2  0  6  0  4  0  0  0  0  0  0  0  0  0  0  0.00000000D+00
 180 C9O         0  0  0  9  0  1  0  0  0  0  0  0  0  0  0.57503302D-20
 181 HC9N        0  1  0  9  1  0  0  0  0  0  0  0  0  0  0.17390293D-20
 182 C10H        0  1  0 10  0  0  0  0  0  0  0  0  0  0  0.11370520D-22
 183 C9H2        0  2  0  9  0  0  0  0  0  0  0  0  0  0  0.25148176D-20
 184 CH3C6H      0  4  0  7  0  0  0  0  0  0  0  0  0  0  0.45824637D-16
 185 C11         0  0  0 11  0  0  0  0  0  0  0  0  0  0  0.27440098D-25
 186 C10N        0  0  0 10  1  0  0  0  0  0  0  0  0  0  0.63400951D-24
 187 CH3C7N      0  3  0  8  1  0  0  0  0  0  0  0  0  0  0.52540997D-21
 188 C10H2       0  2  0 10  0  0  0  0  0  0  0  0  0  0  0.24948065D-20
 189 C6H6        0  6  0  6  0  0  0  0  0  0  0  0  0  0  0.37262670D-14
 190 Si+         1  0  0  0  0  0  1  0  0  0  0  0  0  0  0.81245771D-10
 191 C+          1  0  0  1  0  0  0  0  0  0  0  0  0  0  0.13036897D-08
 192 C-         -1  0  0  1  0  0  0  0  0  0  0  0  0  0  0.35384818D-18
 193 H-         -1  1  0  0  0  0  0  0  0  0  0  0  0  0  0.64708851D-12
